Questions,Answers,Owner
Unique Savings Issue,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Bharathi
Savings Account - Cheque book status,"Please track the status of your cheque book deliverable through Internet banking, Imobile, Bank's Customer service assistance",Bharathi
Phone Number Update Issue,"Log in to the Abby app or websit, Navigate to your account settings or profile section,Look for the option to update your phone number,Follow the prompts to enter and verify your new phone number",Bharathi
Debit Card Charges,"Charges on debit cards may include annual fees, transaction fees, and ATM withdrawal fees among others.",Bharathi
Chargeback Request,"Customer should initiate the chargeback process and Abby bank reaches out to the merchant's bank, asking it to provide evidence to refute the claim.",Bharathi
Bank Transfers - Reversal of incorrectly sent transaction,Immediately contact your bank's customer service requesting a transaction reversal and asking the unintended recipient to return the funds,Bharathi
Online Payment- Adding/ Removing bank account from Abby Online Payment,Login to your bank account and follow the instructions to add/remove the acocunt,Bharathi
On-Demand Salary Issue,Please contact your bank's customer service for assistance,Bharathi
Online Payment Transaction Issue,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Bharathi
Debit Card Delivery Delay,Contact your bank's customer service and provide your the required details and tracking number and request the status of your Debit card delivery,Bharathi
Priority Salary - Others,Employees with a net monthly salary credit of min. Rs. 1 lakh per month will be eligible,Bharathi
VKYC status not updated,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Bharathi
Incorrect Transfer Chargeback,Contact your bank's customer service to report the issue so that bank investigates the discrepancy and provides you with an explanation.,Bharathi
Video verification - Status Update,"Video verification status update will be received on your registered mobile,internetbanking",Bharathi
Debit card - Delivery tracking,"Login to your account, navigate to the card section, and check for any tracking updates or delivery status notifications related to your ATM/Debit card.",Bharathi
Bank Transfers - Standing Instructions related,"A standing order (or a standing instruction) is an instruction a bank account holder (""the payer"") gives to their bank to pay a set amount at regular intervals to another's (""the payee's"") account. The instruction is sometimes known as a banker's order.",Bharathi
Balance Transfer Request,"A balance transfer lets you move the unpaid balance from one or more credit cards to a new credit card by using paper checks, online banking or even a mobile app to pay those outstanding balances",Bharathi
Bank Transfers Issue,"If money is transferred but not received, the sender should contact the bank or service used to initiate the transfer to track the transaction.",Bharathi
Online Payment Credit Transaction Issue,"Pending credit card transactions can take up to 3 business days to clear. Direct deposits usually clear by the next business day. Check deposits usually take up to 2 business days. Wire transfers usually take 1 business day, while international wire transfers can take up to 2 weeks.",Bharathi
Unblock Online Payment ID request,"Customer should contact the bank's customer service or use the app's help section. Then, follow the verification process, which may involve providing identification documents",Bharathi
Name mismatch issue,"Log in to the Abby app or websit, Navigate to your account settings or profile section,proof of your name change such as a marriage certificate, Aadhar card showing your name should be uploaded for verification.",Pranay
Cheque Stop Payment Request,"Cheque Stop Payment Request are raised incase of stolen or lost checks, forged checks, insufficient funds to cover the check amount, or a dispute between the depositor and the party that was given the check.",Pranay
Rewards Issue,Please contact your bank's customer service for assistance.,Pranay
DigiGold - Redemption,"Log into to your NetBanking Portal/Account on Abby website. Click the ‘Cards’ , ‘Enquire’ tab ,‘Cashback Enquiry and Redemption’ tab.You can redeem the Reward Points",Pranay
IMPS not sent,Please contact your bank's customer service for assistance.,Pranay
Chequebook request,Log in to the Abby app and initiate the chequebook request.,Pranay
Passbook Request,Log in to the Abby app and initiate the passbook request.,Pranay
Offline KYC Request,Please reach out your bank with the government ID proof for KYC upadtion,Pranay
Super Unique Savings Issue,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Pranay
Digigold Issue,"Digital gold was not a security, exchange members could not deal in digital gold.",Pranay
Debit Card Issue,Contact your bank's customer service and provide your account details and tracking number and request the status of your Debit card delivery,Pranay
Networth - Removing account,Please login to your account via - App - Andriod or IOS; Go to profile section; Click on Delete account; Your account will be deactivated within 7 working days.,Pranay
Savings Account Issue,Please contact your bank's customer service for assistance. They may ask you to verify your identity before helping you.,Pranay
Priority Salary - Email Related,Please specify the issue,Pranay
Bank Transfers - Payee addition/ activation,Login to your bank account and follow the instructions for addition/activation of the acocunt,Pranay
Signed Statement Request,Log in to the Abby app or websit and raise a request spcifying the period.,Pranay
New feature request,New Feature request list the prioties to the customer to create an open connection,Pranay
Online Payment - Refund Not Received,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Pranay
Unauthorized bank transfer transaction,Login to your bank's internet banking or mobile app to understand the issue and then contact the bank's customer service for asisstance.,Pranay
Savings Account - Balance not updated,Please refresh the page and recheck.,Pranay
Savings account balance,Please login to your bank acount to check the balance,Pranay
VKYC not completed,Login to you the internet banking or mobile app and follow the instructions to complete VKYC,Pranay
Priority Salary - Rewards Queries & Issues,"Log into to your NetBanking Portal/Account on Abby website. Click the ‘Cards’ , ‘Enquire’ tab ,‘Cashback Enquiry and Redemption’ tab.Select the account number for which you want to redeem the points and Voila! You can redeem the Reward Points",Pranay
Priority Salary Accounts Issue,Please specify the issue,Pranay
Abby - Email,Please send your queries to Abby email,Pranay
Last 3 transactions on the account,Log into to your NetBanking Portal/Account on Abby website.and check for last 3 transactions.,Pranay
Priority Salary - Salary Credit-Related,Please contact your bank's customer service for assistance,Pranay
How are you?,I good thanks hope you are doing well,
Who are you?,I am SimpleBot and happy to help with any questions on the banking query,
